id,price,accommodates,room_type,bedrooms,beds,bathrooms,neighbourhood_group_cleansed,minimum_nights,instant_bookable,review_scores_rating,host_is_superhost,host_total_listings_count,availability_365,latitude,longitude,city
162508,122.0,2,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.29,False,3.0,240,40.67188,-73.95097,NYC
166006,310.0,6,Entire home/apt,2.0,5.0,1.0,Manhattan,31,False,4.64,True,1.0,335,40.79864,-73.96209,NYC
253811,428.0,4,Entire home/apt,1.0,2.0,1.0,Brooklyn,1,False,4.75,False,40.0,60,40.73756,-73.9535,NYC
253828,428.0,4,Private room,1.0,2.0,1.0,Brooklyn,1,False,5.0,False,40.0,41,40.73756,-73.9535,NYC
253839,513.0,4,Private room,1.0,2.0,1.0,Brooklyn,1,True,4.89,False,40.0,60,40.73756,-73.9535,NYC
235651,110.0,3,Private room,1.0,1.0,1.0,Manhattan,30,False,4.88,False,3.0,364,40.74168,-74.00339,NYC
235951,143.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.71,True,1.0,97,40.75408,-73.97071,NYC
235960,180.0,2,Entire home/apt,1.0,2.0,1.0,Manhattan,30,False,4.71,True,1.0,224,40.72113,-73.98442,NYC
239733,250.0,1,Entire home/apt,1.0,1.0,1.0,Queens,30,False,4.86,False,3.0,335,40.77539,-73.91709,NYC
245544,44.0,2,Private room,2.0,2.0,1.0,Bronx,30,False,4.68,False,5.0,1,40.8666,-73.90061,NYC
245574,177.0,2,Private room,1.0,2.0,1.0,Brooklyn,2,False,4.64,True,3.0,352,40.68927,-73.95439,NYC
248865,428.0,4,Entire home/apt,1.0,2.0,1.0,Brooklyn,1,False,4.75,False,40.0,60,40.73756,-73.9535,NYC
253842,319.0,4,Private room,1.0,2.0,1.0,Brooklyn,1,False,4.86,False,40.0,0,40.73756,-73.9535,NYC
253846,381.0,2,Hotel room,1.0,1.0,1.0,Brooklyn,1,False,4.77,False,40.0,60,40.73756,-73.9535,NYC
